name,attack,classfication,defense,japanese_name,height_m,weight_kg,hp,speed,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,against_bug,base_egg_steps,base_happiness,base_total,capture_rate,against_dark,against_dragon,experience_growth,against_fairy,against_fire,against_electric,abilities,percentage_male,pokedex_number,sp_attack,sp_defense,against_flying,type1,type2,against_fight,generation,is_legendary
Metapod,20,Cocoon Pokémon,55,Transelトランセル,0.7,9.9,50,30,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3840,70,205,120,1.0,1.0,1000000,1.0,2.0,1.0,['Shed Skin'],50.0,11,25,25,2.0,bug,,0.5,1,0
Butterfree,45,Butterfly Pokémon,50,Butterfreeバタフリー,1.1,32.0,60,70,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.5,3840,70,395,45,1.0,1.0,1000000,1.0,2.0,2.0,"['Compoundeyes', 'Tinted Lens']",50.0,12,90,80,2.0,bug,flying,0.25,1,0
Weedle,35,Hairy Pokémon,30,Beedleビードル,0.3,3.2,40,50,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,3840,70,195,255,1.0,1.0,1000000,0.5,2.0,1.0,"['Shield Dust', 'Run Away']",50.0,13,20,20,2.0,bug,poison,0.25,1,0
Kakuna,25,Cocoon Pokémon,50,Cocoonコクーン,0.6,10.0,45,35,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,3840,70,205,120,1.0,1.0,1000000,0.5,2.0,1.0,['Shed Skin'],50.0,14,25,25,2.0,bug,poison,0.25,1,0
Beedrill,150,Poison Bee Pokémon,40,Spearスピアー,1.0,29.5,65,145,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,3840,70,495,45,1.0,1.0,1000000,0.5,2.0,1.0,"['Swarm', 'Sniper']",50.0,15,15,80,2.0,bug,poison,0.25,1,0
Pidgey,45,Tiny Bird Pokémon,40,Poppoポッポ,0.3,1.8,40,56,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,3840,70,251,255,1.0,1.0,1059860,1.0,1.0,2.0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",50.0,16,35,35,1.0,normal,flying,1.0,1,0
Pidgeotto,60,Bird Pokémon,55,Pigeonピジョン,1.1,30.0,63,71,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,3840,70,349,120,1.0,1.0,1059860,1.0,1.0,2.0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",50.0,17,50,50,1.0,normal,flying,1.0,1,0
Pidgeot,80,Bird Pokémon,80,Pigeotピジョット,1.5,39.5,83,121,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,3840,70,579,45,1.0,1.0,1059860,1.0,1.0,2.0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",50.0,18,135,80,1.0,normal,flying,1.0,1,0
Rattata,56,Mouse Pokémon,35,Korattaコラッタ,,,30,72,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840,70,253,255,1.0,1.0,1000000,1.0,1.0,1.0,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",50.0,19,25,35,1.0,normal,dark,2.0,1,0
Raticate,71,Mouse Pokémon,70,Rattaラッタ,,,75,77,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840,70,413,127,1.0,1.0,1000000,1.0,1.0,1.0,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",50.0,20,40,80,1.0,normal,dark,2.0,1,0
Spearow,60,Tiny Bird Pokémon,30,Onisuzumeオニスズメ,0.3,2.0,40,70,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,3840,70,262,255,1.0,1.0,1000000,1.0,1.0,2.0,"['Keen Eye', 'Sniper']",50.0,21,31,31,1.0,normal,flying,1.0,1,0
Fearow,90,Beak Pokémon,65,Onidrillオニドリル,1.2,38.0,65,100,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,3840,70,442,90,1.0,1.0,1000000,1.0,1.0,2.0,"['Keen Eye', 'Sniper']",50.0,22,61,61,1.0,normal,flying,1.0,1,0
Ekans,60,Snake Pokémon,44,Arboアーボ,2.0,6.9,35,55,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,5120,70,288,255,1.0,1.0,1000000,0.5,1.0,1.0,"['Intimidate', 'Shed Skin', 'Unnerve']",50.0,23,40,54,1.0,poison,,0.5,1,0
Arbok,95,Cobra Pokémon,69,Arbokアーボック,3.5,65.0,60,80,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,5120,70,448,90,1.0,1.0,1000000,0.5,1.0,1.0,"['Intimidate', 'Shed Skin', 'Unnerve']",50.0,24,65,79,1.0,poison,,0.5,1,0
Pikachu,55,Mouse Pokémon,40,Pikachuピカチュウ,0.4,6.0,35,90,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2560,70,320,190,1.0,1.0,1000000,1.0,1.0,0.5,"['Static', 'Lightningrod']",50.0,25,50,50,0.5,electric,,1.0,1,0
Raichu,85,Mouse Pokémon,50,Raichuライチュウ,,,60,110,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2560,70,485,75,1.0,1.0,1000000,1.0,1.0,0.5,"['Static', 'Lightningrod', 'Surge Surfer']",50.0,26,95,85,0.5,electric,electric,1.0,1,0
Sandshrew,75,Mouse Pokémon,90,Sandサンド,,,50,40,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,5120,70,300,255,1.0,1.0,1000000,1.0,1.0,0.0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",50.0,27,10,35,1.0,ground,ice,1.0,1,0
Sandslash,100,Mouse Pokémon,120,Sandpanサンドパン,,,75,65,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,5120,70,450,90,1.0,1.0,1000000,1.0,1.0,0.0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",50.0,28,25,65,1.0,ground,ice,1.0,1,0
Nidoran♀,47,Poison Pin Pokémon,52,Nidoran?ニドラン♀,0.4,7.0,55,41,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,5120,70,275,235,1.0,1.0,1059860,0.5,1.0,1.0,"['Poison Point', 'Rivalry', 'Hustle']",0.0,29,40,40,1.0,poison,,0.5,1,0
Nidorina,62,Poison Pin Pokémon,67,Nidorinaニドリーナ,0.8,20.0,70,56,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,5120,70,365,120,1.0,1.0,1059860,0.5,1.0,1.0,"['Poison Point', 'Rivalry', 'Hustle']",0.0,30,55,55,1.0,poison,,0.5,1,0
Nidoqueen,92,Drill Pokémon,87,Nidoqueenニドクイン,1.3,60.0,90,76,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,5120,70,505,45,1.0,1.0,1059860,0.5,1.0,0.0,"['Poison Point', 'Rivalry', 'Sheer Force']",0.0,31,75,85,1.0,poison,ground,0.5,1,0
Nidoran♂,57,Poison Pin Pokémon,40,Nidoran?ニドラン♂,0.5,9.0,46,50,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,5120,70,273,235,1.0,1.0,1059860,0.5,1.0,1.0,"['Poison Point', 'Rivalry', 'Hustle']",100.0,32,40,40,1.0,poison,,0.5,1,0
Nidorino,72,Poison Pin Pokémon,57,Nidorinoニドリーノ,0.9,19.5,61,65,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,5120,70,365,120,1.0,1.0,1059860,0.5,1.0,1.0,"['Poison Point', 'Rivalry', 'Hustle']",100.0,33,55,55,1.0,poison,,0.5,1,0
Nidoking,102,Drill Pokémon,77,Nidokingニドキング,1.4,62.0,81,85,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,5120,70,505,45,1.0,1.0,1059860,0.5,1.0,0.0,"['Poison Point', 'Rivalry', 'Sheer Force']",100.0,34,85,75,1.0,poison,ground,0.5,1,0
Clefairy,45,Fairy Pokémon,48,Pippiピッピ,0.6,7.5,70,35,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,2560,140,323,150,0.5,0.0,800000,1.0,1.0,1.0,"['Cute Charm', 'Magic Guard', 'Friend Guard']",24.6,35,60,65,1.0,fairy,,0.5,1,0
Clefable,70,Fairy Pokémon,73,Pixyピクシー,1.3,40.0,95,60,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,2560,140,483,25,0.5,0.0,800000,1.0,1.0,1.0,"['Cute Charm', 'Magic Guard', 'Unaware']",24.6,36,95,90,1.0,fairy,,0.5,1,0
Vulpix,41,Fox Pokémon,40,Rokonロコン,,,38,65,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,5120,70,299,190,1.0,1.0,1000000,0.5,0.5,1.0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",24.6,37,50,65,1.0,fire,ice,1.0,1,0
Ninetales,67,Fox Pokémon,75,Kyukonキュウコン,,,73,109,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,5120,70,505,75,1.0,1.0,1000000,0.5,0.5,1.0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",24.6,38,81,100,1.0,fire,ice,1.0,1,0
Jigglypuff,45,Balloon Pokémon,20,Purinプリン,0.5,5.5,115,20,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,2560,70,270,170,0.5,0.0,800000,1.0,1.0,1.0,"['Cute Charm', 'Competitive', 'Friend Guard']",24.6,39,45,25,1.0,normal,fairy,1.0,1,0
Wigglytuff,70,Balloon Pokémon,45,Pukurinプクリン,1.0,12.0,140,45,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,2560,70,435,50,0.5,0.0,800000,1.0,1.0,1.0,"['Cute Charm', 'Competitive', 'Frisk']",24.6,40,85,50,1.0,normal,fairy,1.0,1,0
Zubat,45,Bat Pokémon,35,Zubatズバット,0.8,7.5,40,55,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,0.25,3840,70,245,255,1.0,1.0,1000000,0.5,1.0,2.0,"['Inner Focus', 'Infiltrator']",50.0,41,30,40,1.0,poison,flying,0.25,1,0
Golbat,80,Bat Pokémon,70,Golbatゴルバット,1.6,55.0,75,90,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,0.25,3840,70,455,90,1.0,1.0,1000000,0.5,1.0,2.0,"['Inner Focus', 'Infiltrator']",50.0,42,65,75,1.0,poison,flying,0.25,1,0
Oddish,50,Weed Pokémon,55,Nazonokusaナゾノクサ,0.5,5.4,45,30,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,5120,70,320,255,1.0,1.0,1059860,0.5,2.0,0.5,"['Chlorophyll', 'Run Away']",50.0,43,75,65,2.0,grass,poison,0.5,1,0
Gloom,65,Weed Pokémon,70,Kusaihanaクサイハナ,0.8,8.6,60,40,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,5120,70,395,120,1.0,1.0,1059860,0.5,2.0,0.5,"['Chlorophyll', 'Stench']",50.0,44,85,75,2.0,grass,poison,0.5,1,0
Vileplume,80,Flower Pokémon,85,Ruffresiaラフレシア,1.2,18.6,75,50,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,5120,70,490,45,1.0,1.0,1059860,0.5,2.0,0.5,"['Chlorophyll', 'Effect Spore']",50.0,45,110,90,2.0,grass,poison,0.5,1,0
Paras,70,Mushroom Pokémon,55,Parasパラス,0.3,5.4,35,25,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,2.0,5120,70,285,190,1.0,1.0,1000000,1.0,4.0,0.5,"['Effect Spore', 'Dry Skin', 'Damp']",50.0,46,45,55,4.0,bug,grass,0.5,1,0
Parasect,95,Mushroom Pokémon,80,Parasectパラセクト,1.0,29.5,60,30,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,2.0,5120,70,405,75,1.0,1.0,1000000,1.0,4.0,0.5,"['Effect Spore', 'Dry Skin', 'Damp']",50.0,47,60,80,4.0,bug,grass,0.5,1,0
Venonat,55,Insect Pokémon,50,Kongpangコンパン,1.0,30.0,60,45,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,5120,70,305,190,1.0,1.0,1000000,0.5,2.0,1.0,"['Compoundeyes', 'Tinted Lens', 'Run Away']",50.0,48,40,55,2.0,bug,poison,0.25,1,0
Venomoth,65,Poison Moth Pokémon,60,Morphonモルフォン,1.5,12.5,70,90,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,5120,70,450,75,1.0,1.0,1000000,0.5,2.0,1.0,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",50.0,49,90,75,2.0,bug,poison,0.25,1,0
Diglett,55,Mole Pokémon,30,Digdaディグダ,,,10,90,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,5120,70,265,255,1.0,1.0,1000000,1.0,1.0,0.0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",50.0,50,35,45,1.0,ground,ground,1.0,1,0
Dugtrio,100,Mole Pokémon,60,Dugtrioダグトリオ,,,35,110,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,5120,70,425,50,1.0,1.0,1000000,1.0,1.0,0.0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",50.0,51,50,70,1.0,ground,ground,1.0,1,0
Meowth,35,Scratch Cat Pokémon,35,Nyarthニャース,,,40,90,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,290,255,1.0,1.0,1000000,1.0,1.0,1.0,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",50.0,52,50,40,1.0,normal,dark,2.0,1,0
Persian,60,Classy Cat Pokémon,60,Persianペルシアン,,,65,115,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,440,90,1.0,1.0,1000000,1.0,1.0,1.0,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",50.0,53,75,65,1.0,normal,dark,2.0,1,0
Psyduck,52,Duck Pokémon,48,Koduckコダック,0.8,19.6,50,55,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,5120,70,320,190,1.0,1.0,1000000,1.0,0.5,2.0,"['Damp', 'Cloud Nine', 'Swift Swim']",50.0,54,65,50,1.0,water,,1.0,1,0
Golduck,82,Duck Pokémon,78,Golduckゴルダック,1.7,76.6,80,85,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,5120,70,500,75,1.0,1.0,1000000,1.0,0.5,2.0,"['Damp', 'Cloud Nine', 'Swift Swim']",50.0,55,95,80,1.0,water,,1.0,1,0
Mankey,80,Pig Monkey Pokémon,35,Mankeyマンキー,0.5,28.0,40,70,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,5120,70,305,190,0.5,1.0,1000000,2.0,1.0,1.0,"['Vital Spirit', 'Anger Point', 'Defiant']",50.0,56,35,45,2.0,fighting,,1.0,1,0
Primeape,105,Pig Monkey Pokémon,60,Okorizaruオコリザル,1.0,32.0,65,95,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,5120,70,455,75,0.5,1.0,1000000,2.0,1.0,1.0,"['Vital Spirit', 'Anger Point', 'Defiant']",50.0,57,60,70,2.0,fighting,,1.0,1,0
Growlithe,70,Puppy Pokémon,45,Gardieガーディ,0.7,19.0,55,60,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,5120,70,350,190,1.0,1.0,1250000,0.5,0.5,1.0,"['Intimidate', 'Flash Fire', 'Justified']",75.4,58,70,50,1.0,fire,,1.0,1,0
Arcanine,110,Legendary Pokémon,80,Windieウインディ,1.9,155.0,90,95,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,5120,70,555,75,1.0,1.0,1250000,0.5,0.5,1.0,"['Intimidate', 'Flash Fire', 'Justified']",75.4,59,100,80,1.0,fire,,1.0,1,0
Poliwag,50,Tadpole Pokémon,40,Nyoromoニョロモ,0.6,12.4,40,90,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,5120,70,300,255,1.0,1.0,1059860,1.0,0.5,2.0,"['Water Absorb', 'Damp', 'Swift Swim']",50.0,60,40,40,1.0,water,,1.0,1,0
Poliwhirl,65,Tadpole Pokémon,65,Nyorozoニョロゾ,1.0,20.0,65,90,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,5120,70,385,120,1.0,1.0,1059860,1.0,0.5,2.0,"['Water Absorb', 'Damp', 'Swift Swim']",50.0,61,50,50,1.0,water,,1.0,1,0
Poliwrath,95,Tadpole Pokémon,95,Nyorobonニョロボン,1.3,54.0,90,70,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,0.5,5120,70,510,45,0.5,1.0,1059860,2.0,0.5,2.0,"['Water Absorb', 'Damp', 'Swift Swim']",50.0,62,70,90,2.0,water,fighting,1.0,1,0
Abra,20,Psi Pokémon,15,Caseyケーシィ,0.9,19.5,25,90,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,5120,70,310,200,2.0,1.0,1059860,1.0,1.0,1.0,"['Synchronize', 'Inner Focus', 'Magic Guard']",75.4,63,105,55,1.0,psychic,,0.5,1,0
Kadabra,35,Psi Pokémon,30,Yungererユンゲラー,1.3,56.5,40,105,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,5120,70,400,100,2.0,1.0,1059860,1.0,1.0,1.0,"['Synchronize', 'Inner Focus', 'Magic Guard']",75.4,64,120,70,1.0,psychic,,0.5,1,0
Alakazam,50,Psi Pokémon,65,Foodinフーディン,1.5,48.0,55,150,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,5120,70,600,50,2.0,1.0,1059860,1.0,1.0,1.0,"['Synchronize', 'Inner Focus', 'Magic Guard']",75.4,65,175,105,1.0,psychic,,0.5,1,0
Machop,80,Superpower Pokémon,50,Wanrikyワンリキー,0.8,19.5,70,35,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,5120,70,305,180,0.5,1.0,1059860,2.0,1.0,1.0,"['Guts', 'No Guard', 'Steadfast']",75.4,66,35,35,2.0,fighting,,1.0,1,0
Machoke,100,Superpower Pokémon,70,Gorikyゴーリキー,1.5,70.5,80,45,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,5120,70,405,90,0.5,1.0,1059860,2.0,1.0,1.0,"['Guts', 'No Guard', 'Steadfast']",75.4,67,50,60,2.0,fighting,,1.0,1,0
Machamp,130,Superpower Pokémon,80,Kairikyカイリキー,1.6,130.0,90,55,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.5,5120,70,505,45,0.5,1.0,1059860,2.0,1.0,1.0,"['Guts', 'No Guard', 'Steadfast']",75.4,68,65,85,2.0,fighting,,1.0,1,0
Bellsprout,75,Flower Pokémon,35,Madatsubomiマダツボミ,0.7,4.0,50,40,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,5120,70,300,255,1.0,1.0,1059860,0.5,2.0,0.5,"['Chlorophyll', 'Gluttony']",50.0,69,70,30,2.0,grass,poison,0.5,1,0
Weepinbell,90,Flycatcher Pokémon,50,Utsudonウツドン,1.0,6.4,65,55,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,5120,70,390,120,1.0,1.0,1059860,0.5,2.0,0.5,"['Chlorophyll', 'Gluttony']",50.0,70,85,45,2.0,grass,poison,0.5,1,0
Victreebel,105,Flycatcher Pokémon,65,Utsubotウツボット,1.7,15.5,80,70,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,5120,70,490,45,1.0,1.0,1059860,0.5,2.0,0.5,"['Chlorophyll', 'Gluttony']",50.0,71,100,70,2.0,grass,poison,0.5,1,0
Tentacool,40,Jellyfish Pokémon,35,Menokurageメノクラゲ,0.9,45.5,40,70,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,0.5,5120,70,335,190,1.0,1.0,1250000,0.5,0.5,2.0,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",50.0,72,50,100,1.0,water,poison,0.5,1,0
Tentacruel,70,Jellyfish Pokémon,65,Dokukurageドククラゲ,1.6,55.0,80,100,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,0.5,5120,70,515,60,1.0,1.0,1250000,0.5,0.5,2.0,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",50.0,73,80,120,1.0,water,poison,0.5,1,0
Geodude,80,Rock Pokémon,100,Isitsubuteイシツブテ,,,40,20,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,1.0,3840,70,300,255,1.0,1.0,1059860,1.0,0.5,0.0,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",50.0,74,30,30,0.5,rock,ground,2.0,1,0
Graveler,95,Rock Pokémon,115,Goloneゴローン,,,55,35,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,1.0,3840,70,390,120,1.0,1.0,1059860,1.0,0.5,0.0,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",50.0,75,45,45,0.5,rock,ground,2.0,1,0
Golem,120,Megaton Pokémon,130,Golonyaゴローニャ,,,80,45,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,1.0,3840,70,495,45,1.0,1.0,1059860,1.0,0.5,0.0,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",50.0,76,55,65,0.5,rock,ground,2.0,1,0
Ponyta,85,Fire Horse Pokémon,55,Ponytaポニータ,1.0,30.0,50,90,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,5120,70,410,190,1.0,1.0,1000000,0.5,0.5,1.0,"['Run Away', 'Flash Fire', 'Flame Body']",50.0,77,65,65,1.0,fire,,1.0,1,0
Rapidash,100,Fire Horse Pokémon,70,Gallopギャロップ,1.7,95.0,65,105,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.5,5120,70,500,60,1.0,1.0,1000000,0.5,0.5,1.0,"['Run Away', 'Flash Fire', 'Flame Body']",50.0,78,80,80,1.0,fire,,1.0,1,0
Slowpoke,65,Dopey Pokémon,65,Yadonヤドン,1.2,36.0,90,15,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,2.0,5120,70,315,190,2.0,1.0,1000000,1.0,0.5,2.0,"['Oblivious', 'Own Tempo', 'Regenerator']",50.0,79,40,40,1.0,water,psychic,0.5,1,0
